set,card_name
Antiquities,Tawnos's Weaponry
The Dark,Fountain of Youth
The Dark,Runesword
The Dark,Gaea's Touch
Mirage,Reality Ripple
Urza's Saga,Bog Raiders
Urza's Saga,Looming Shade
Urza's Saga,No Rest for the Wicked
Urza's Saga,Diabolic Servitude
Urza's Saga,Unworthy Dead
Urza's Saga,Fire Ants
Prophecy,Coffin Puppets
Invasion,Urborg Skeleton
Odyssey,Seafloor Debris
Odyssey,Cephalid Looter
Shadowmoor,Reflecting Pool
Oath of the Gatewatch,Captain's Claws
Shadows over Innistrad,Tamiyo's Journal
Kaladesh,Brazen Scourge
Kaladesh,Arborback Stomper
Kaladesh,Terrain Elemental
Kaladesh,Wind Drake
Aether Revolt,Wrangle
Aether Revolt,Alley Strangler
Aether Revolt,Dawnfeather Eagle
War of the Spark,Gideon Blackblade
War of the Spark,"Chandra, Fire Artisan"
War of the Spark,"Jaya, Venerated Firemage"
War of the Spark,"Arlinn, Voice of the Pack"
War of the Spark,Sarkhan the Masterless
War of the Spark,"Tibalt, Rakish Instigator"
War of the Spark,"Ajani, the Greathearted"
War of the Spark,"Jiang Yanggu, Wildcrafter"
War of the Spark,"Nissa, Who Shakes the World"
War of the Spark,"Ob Nixilis, the Hate-Twisted"
War of the Spark,"Vivien, Champion of the Wilds"
War of the Spark,"Domri, Anarch of Bolas"
War of the Spark,"Angrath, Captain of Chaos"
War of the Spark,"Ashiok, Dream Render"
War of the Spark,"Karn, the Great Creator"
War of the Spark,"Huatli, the Sun's Heart"
War of the Spark,"Kaya, Bane of the Dead"
War of the Spark,"Nicol Bolas, Dragon-God"
War of the Spark,"Ral, Storm Conduit"
War of the Spark,"Sorin, Vengeful Bloodlord"
War of the Spark,"Tamiyo, Collector of Tales"
War of the Spark,"Teferi, Time Raveler"
War of the Spark,"Dovin, Hand of Control"
War of the Spark,"Kiora, Behemoth Beckoner"
War of the Spark,"Nahiri, Storm of Stone"
War of the Spark,"Saheeli, Sublime Artificer"
War of the Spark,"Samut, Tyrant Smasher"
War of the Spark,"Vraska, Swarm's Eminence"
War of the Spark,"Ugin, the Ineffable"
War of the Spark,"Teyo, the Shieldmage"
War of the Spark,The Wanderer
War of the Spark,"Jace, Wielder of Mysteries"
War of the Spark,"Kasmina, Enigmatic Mentor"
War of the Spark,"Narset, Parter of Veils"
War of the Spark,"Davriel, Rogue Shadowmage"
War of the Spark,"Liliana, Dreadhorde General"
Theros Beyond Death,"Elspeth, Sun's Nemesis"
Theros Beyond Death,"Ashiok, Nightmare Muse"
Theros Beyond Death,"Calix, Destiny's Hand"
Theros Beyond Death,"Daxos, Blessed by the Sun"
Theros Beyond Death,"Heliod, Sun-Crowned"
Theros Beyond Death,"Callaphe, Beloved of the Sea"
Theros Beyond Death,"Thassa, Deep-Dwelling"
Theros Beyond Death,"Erebos, Bleak-Hearted"
Theros Beyond Death,"Tymaret, Chosen from Death"
Theros Beyond Death,"Anax, Hardened in the Forge"
Theros Beyond Death,"Purphoros, Bronze-Blooded"
Theros Beyond Death,"Nylea, Keen-Eyed"
Theros Beyond Death,"Renata, Called to the Hunt"
Theros Beyond Death,"Klothys, God of Destiny"
Theros Beyond Death,Archon of Sun's Grace
Theros Beyond Death,Eidolon of Obstruction
Theros Beyond Death,Heliod's Intervention
Theros Beyond Death,Idyllic Tutor
Theros Beyond Death,Shatter the Sky
Theros Beyond Death,"Taranika, Akroan Veteran"
Theros Beyond Death,Ashiok's Erasure
Theros Beyond Death,Nadir Kraken
Theros Beyond Death,Protean Thaumaturge
Theros Beyond Death,Thassa's Intervention
Theros Beyond Death,Thassa's Oracle
Theros Beyond Death,"Thryx, the Sudden Storm"
Theros Beyond Death,Wavebreak Hippocamp
Theros Beyond Death,"Aphemia, the Cacophony"
Theros Beyond Death,Eat to Extinction
Theros Beyond Death,Erebos's Intervention
Theros Beyond Death,Gravebreaker Lamia
Theros Beyond Death,Nightmare Shepherd
Theros Beyond Death,Treacherous Blessing
Theros Beyond Death,Woe Strider
Theros Beyond Death,Ox of Agonas
Theros Beyond Death,Phoenix of Ash
Theros Beyond Death,Purphoros's Intervention
Theros Beyond Death,Storm Herald
Theros Beyond Death,Storm's Wrath
Theros Beyond Death,Tectonic Giant
Theros Beyond Death,Underworld Breach
Theros Beyond Death,Arasta of the Endless Web
Theros Beyond Death,Dryad of the Ilysian Grove
Theros Beyond Death,Mantle of the Wolf
Theros Beyond Death,Nessian Boar
Theros Beyond Death,Nylea's Intervention
Theros Beyond Death,Nyxbloom Ancient
Theros Beyond Death,Setessan Champion
Theros Beyond Death,Allure of the Unknown
Theros Beyond Death,"Atris, Oracle of Half-Truths"
