id,card_name
1,Aerial Modification
2,Wrangle
3,Aeronaut Admiral
4,Aether Inspector
5,Aethergeode Miner
6,Airdrop Aeronauts
7,Alley Strangler
8,Alley Evasion
9,Audacious Infiltrator
10,Bastion Enforcer
11,Call for Unity
12,Caught in the Brights
13,Consulate Crackdown
14,Conviction
15,Countless Gears Renegade
16,Dawnfeather Eagle
17,Dawnfeather Eagle
18,Deadeye Harpooner
19,Decommission
20,Deft Dismissal
21,Exquisite Archangel
22,Felidar Guardian
23,Ghirapur Osprey
24,Restoration Specialist
25,Solemn Recruit
26,"Sram, Senior Edificer"
27,Sram's Expertise
28,Thopter Arrest
29,Aether Swooper
30,Aethertide Whale
31,"Baral, Chief of Compliance"
32,Baral's Expertise
33,Bastion Inventor
34,Disallow
35,Dispersal Technician
36,Efficient Construction
37,Hinterland Drake
38,Ice Over
39,Illusionist's Stratagem
40,Leave in the Dust
41,Mechanized Production
42,Metallic Rebuke
43,Negate
44,Quicksmith Spy
45,Reverse Engineer
46,Salvage Scuttler
47,Shielded Aether Thief
48,Shipwreck Moray
49,Skyship Plunderer
50,Take into Custody
51,Trophy Mage
52,Whir of Invention
53,Wind-Kin Raiders
54,Aether Poisoner
55,Alley Strangler
56,Battle at the Bridge
57,Cruel Finality
58,Daring Demolition
59,Defiant Salvager
60,Fatal Push
61,Fen Hauler
62,Foundry Hornet
63,Fourth Bridge Prowler
64,Gifted Aetherborn
65,Glint-Sleeve Siphoner
66,Gonti's Machinations
67,Herald of Anguish
68,Ironclad Revolutionary
69,Midnight Entourage
70,Night Market Aeronaut
71,Perilous Predicament
72,Renegade's Getaway
73,Resourceful Return
74,Secret Salvage
75,Sly Requisitioner
76,Vengeful Rebel
77,"Yahenni, Undying Partisan"
78,Yahenni's Expertise
79,Aether Chaser
80,Chandra's Revolution
81,Destructive Tampering
82,Embraal Gear-Smasher
83,Enraged Giant
84,Freejam Regent
85,Frontline Rebel
86,Gremlin Infestation
87,Hungry Flames
88,Indomitable Creativity
89,Invigorated Rampage
90,"Kari Zev, Skyship Raider"
91,Kari Zev's Expertise
92,Lathnu Sailback
93,Lightning Runner
94,Pia's Revolution
95,Precise Strike
96,Quicksmith Rebel
97,Ravenous Intruder
98,Reckless Racer
99,Release the Gremlins
100,Scrapper Champion
101,Shock
102,Siege Modification
103,Sweatworks Brawler
104,Wrangle
105,Aether Herder
106,Aetherstream Leopard
107,Aetherwind Basker
108,Aid from the Cowl
109,Druid of the Cowl
110,Greenbelt Rampager
111,Greenwheel Liberator
112,Heroic Intervention
113,Hidden Herbalists
114,Highspire Infusion
115,Lifecraft Awakening
116,Lifecraft Cavalry
117,Lifecrafter's Gift
118,Maulfist Revolutionary
119,Monstrous Onslaught
120,Narnam Renegade
121,Natural Obsolescence
122,Peema Aether-Seer
123,Prey Upon
124,Ridgescale Tusker
125,"Rishkar, Peema Renegade"
126,Rishkar's Expertise
127,Scrounging Bandar
128,Silkweaver Elite
129,Unbridled Growth
130,Ajani Unyielding
131,Dark Intimations
132,Hidden Stockpile
133,Maverick Thopterist
134,Oath of Ajani
135,Outland Boar
136,Renegade Rallier
137,Renegade Wheelsmith
138,Rogue Refiner
139,Spire Patrol
140,Tezzeret the Schemer
141,Tezzeret's Touch
142,Weldfast Engineer
143,Winding Constrictor
144,Aegis Automaton
145,Aethersphere Harvester
146,Augmenting Automaton
147,Barricade Breaker
148,Cogwork Assembler
149,Consulate Dreadnought
150,Consulate Turret
151,Crackdown Construct
152,Daredevil Dragster
153,Filigree Crawler
154,Foundry Assembler
155,Gonti's Aether Heart
156,Heart of Kiran
157,Hope of Ghirapur
158,Implement of Combustion
159,Implement of Examination
160,Implement of Ferocity
161,Implement of Improvement
162,Implement of Malice
163,Inspiring Statuary
164,Irontread Crusher
165,Lifecrafter's Bestiary
166,Merchant's Dockhand
167,Metallic Mimic
168,Mobile Garrison
169,Night Market Guard
170,Ornithopter
171,Pacification Array
172,Paradox Engine
173,Peacewalker Colossus
174,Planar Bridge
175,Prizefighter Construct
176,Renegade Map
177,Reservoir Walker
178,Scrap Trawler
179,Servo Schematic
180,Treasure Keeper
181,Universal Solvent
182,Untethered Express
183,Verdant Automaton
184,Walking Ballista
185,Watchful Automaton
186,Welder Automaton
187,Spire of Industry
188,"Ajani, Valiant Protector"
189,Inspiring Roar
190,Ajani's Comrade
191,Ajani's Aid
192,Tranquil Expanse
193,"Tezzeret, Master of Metal"
194,Tezzeret's Betrayal
195,Pendulum of Patterns
196,Tezzeret's Simulacrum
197,Submerged Boneyard
