id,card_name,image_url
1,Angel of Sanctions,0
2,Anointed Procession,0
3,Anointer Priest,0
4,Approach of the Second Sun,0
5,Aven Mindcensor,0
6,Binding Mummy,0
7,Cartouche of Solidarity,0
8,Cast Out,0
9,Compulsory Rest,0
10,Devoted Crop-Mate,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426712&type=card
11,Djeru's Resolve,0
12,Fan Bearer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=456532&type=card
13,Forsake the Worldly,0
14,Gideon of the Trials,0
15,Gideon's Intervention,0
16,Glory-Bound Initiate,0
17,Gust Walker,0
18,Impeccable Timing,0
19,In Oketra's Name,0
20,Mighty Leap,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=398630&type=card
21,Oketra the True,0
22,Oketra's Attendant,0
23,Protection of the Hekma,0
24,Regal Caracal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479386&type=card
25,Renewed Faith,0
26,Rhet-Crop Spearmaster,0
27,Sacred Cat,0
28,Seraph of the Suns,0
29,Sparring Mummy,0
30,Supply Caravan,0
31,Tah-Crop Elite,0
32,Those Who Serve,0
33,Time to Reflect,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426735&type=card
34,Trial of Solidarity,0
35,Trueheart Duelist,0
36,Unwavering Initiate,0
37,Vizier of Deferment,0
38,Vizier of Remedies,0
39,Winged Shepherd,0
40,Ancient Crab,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=407560&type=card
41,Angler Drake,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426743&type=card
42,As Foretold,0
43,Aven Initiate,0
44,Cancel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189001&type=card
45,Cartouche of Knowledge,0
46,Censor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=9747&type=card
47,Compelling Argument,0
48,Cryptic Serpent,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489303&type=card
49,Curator of Mysteries,0
50,Decision Paralysis,0
51,Drake Haven,0
52,Essence Scatter,0
53,Floodwaters,0
54,Galestrike,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476088&type=card
55,Glyph Keeper,0
56,Hekma Sentinels,0
57,Hieroglyphic Illumination,0
58,Illusory Wrappings,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426760&type=card
59,Kefnet the Mindful,0
60,Labyrinth Guardian,0
61,Lay Claim,0
62,Naga Oracle,0
63,New Perspectives,0
64,Open into Wonder,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495972&type=card
65,Pull from Tomorrow,0
66,River Serpent,0
67,Sacred Excavation,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426769&type=card
68,Scribe of the Mindful,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426770&type=card
69,Seeker of Insight,0
70,Shimmerscale Drake,0
71,Slither Blade,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495974&type=card
72,Tah-Crop Skirmisher,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=426774&type=card
73,Trial of Knowledge,0
74,Vizier of Many Faces,0
75,Vizier of Tumbling Sands,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=482754&type=card
76,Winds of Rebuke,0
77,Zenith Seeker,0
78,Archfiend of Ifnir,0
79,Baleful Ammit,0
80,Blighted Bat,0
81,Bone Picker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489218&type=card
82,Bontu the Glorified,0
