id,card_name,image_url
1,"Karn, Scion of Urza",0
2,Adamant Will,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442890&type=card
3,Aven Sentry,0
4,"Baird, Steward of Argive",0
5,Benalish Honor Guard,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442893&type=card
6,Benalish Marshal,0
7,Blessed Light,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442895&type=card
8,Board the Weatherlight,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442896&type=card
9,Call the Cavalry,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=456530&type=card
10,Charge,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495638&type=card
11,D'Avenant Trapper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442899&type=card
12,"Danitha Capashen, Paragon",0
13,Daring Archaeologist,0
14,Dauntless Bodyguard,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442902&type=card
15,Dub,0
16,"Evra, Halcyon Witness",0
17,Excavation Elephant,0
18,Fall of the Thran,0
19,Gideon's Reproach,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442907&type=card
20,Healing Grace,0
21,History of Benalia,0
22,Invoke the Divine,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=447152&type=card
23,Knight of Grace,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442911&type=card
24,Knight of New Benalia,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442912&type=card
25,"Kwende, Pride of Femeref",0
26,Lyra Dawnbringer,0
27,Mesa Unicorn,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=489606&type=card
28,On Serra's Wings,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442916&type=card
29,Pegasus Courser,0
30,Sanctum Spirit,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442918&type=card
31,Seal Away,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442919&type=card
32,Sergeant-at-Arms,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442920&type=card
33,Serra Angel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=429892&type=card
34,Serra Disciple,0
35,"Shalai, Voice of Plenty",0
36,"Teshar, Ancestor's Apostle",0
37,Tragic Poet,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=12355&type=card
38,Triumph of Gerrard,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442926&type=card
39,Urza's Ruinous Blast,0
40,Academy Drake,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442928&type=card
41,Academy Journeymage,0
42,The Antiquities War,0
43,Arcane Flight,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442931&type=card
44,Artificer's Assistant,0
45,Befuddle,0
46,Blink of an Eye,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442934&type=card
47,Cloudreader Sphinx,0
48,Cold-Water Snapper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442936&type=card
49,Curator's Ward,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=442937&type=card
50,Deep Freeze,0
