id,card_name,image_url
1,Act of Heroism,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430690&type=card
2,Adorned Pouncer,0
3,Angel of Condemnation,0
4,Angel of the God-Pharaoh,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430693&type=card
5,Aven of Enduring Hope,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430694&type=card
6,Crested Sunmare,0
7,Dauntless Aven,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430696&type=card
8,Desert's Hold,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430697&type=card
9,Disposal Mummy,0
10,"Djeru, With Eyes Open",0
11,Djeru's Renunciation,0
12,Dutiful Servants,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430701&type=card
13,Gideon's Defeat,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430702&type=card
14,God-Pharaoh's Faithful,0
15,Hour of Revelation,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495955&type=card
16,Mummy Paramount,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430705&type=card
17,Oketra's Avenger,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430706&type=card
18,Oketra's Last Mercy,0
19,Overwhelming Splendor,0
20,Sandblast,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430709&type=card
21,Saving Grace,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430710&type=card
22,Solemnity,0
23,Solitary Camel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430712&type=card
24,Steadfast Sentinel,0
25,Steward of Solidarity,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430714&type=card
26,Sunscourge Champion,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430715&type=card
27,Unconventional Tactics,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430716&type=card
28,Vizier of the True,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430717&type=card
29,Aerial Guide,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430718&type=card
30,Aven Reedstalker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430719&type=card
31,Champion of Wits,0
32,Countervailing Winds,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430721&type=card
33,Cunning Survivor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430722&type=card
34,Eternal of Harsh Truths,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430723&type=card
35,Fraying Sanity,0
36,Hour of Eternity,0
37,Imaginary Threats,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430726&type=card
38,Jace's Defeat,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430727&type=card
39,Kefnet's Last Word,0
40,Nimble Obstructionist,0
41,Ominous Sphinx,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430730&type=card
42,Proven Combatant,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430731&type=card
43,Riddleform,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=485387&type=card
44,Seer of the Last Tomorrow,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430733&type=card
45,Sinuous Striker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430734&type=card
46,Spellweaver Eternal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430735&type=card
47,Strategic Planning,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=10602&type=card
48,Striped Riverwinder,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430737&type=card
49,Supreme Will,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430738&type=card
50,Swarm Intelligence,0
51,Tragic Lesson,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430740&type=card
52,"Unesh, Criosphinx Sovereign",0
53,Unquenchable Thirst,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430742&type=card
54,Unsummon,0
55,Vizier of the Anointed,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=430744&type=card
