id,card_name,image_url
1,Adaptive Shimmerer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479521&type=card
2,Farfinder,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479522&type=card
3,Mysterious Egg,0
4,Blade Banish,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479524&type=card
5,Checkpoint Officer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479525&type=card
6,Coordinated Charge,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479526&type=card
7,Cubwarden,0
8,Daysquad Marshal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479528&type=card
9,Divine Arrow,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=460937&type=card
10,Drannith Healer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479530&type=card
11,Drannith Magistrate,0
12,Fight as One,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479532&type=card
13,Flourishing Fox,0
14,Garrison Cat,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479534&type=card
15,Helica Glider,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479535&type=card
16,Huntmaster Liger,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=482370&type=card
17,Imposing Vantasaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479537&type=card
18,Keensight Mentor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479538&type=card
19,Lavabrink Venturer,0
20,Light of Hope,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479540&type=card
21,Luminous Broodmoth,0
22,Majestic Auricorn,0
23,Maned Serval,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479543&type=card
24,Mythos of Snapdax,0
25,Pacifism,0
26,Patagia Tiger,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479546&type=card
27,Perimeter Sergeant,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479547&type=card
28,Sanctuary Lockdown,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479548&type=card
29,Savai Sabertooth,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479549&type=card
30,Snare Tactician,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479550&type=card
31,Solid Footing,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479551&type=card
32,Splendor Mare,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479552&type=card
33,Spontaneous Flight,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479553&type=card
34,Stormwild Capridor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479554&type=card
35,Swallow Whole,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479555&type=card
36,Valiant Rescuer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=479556&type=card
