id,card_name
1,Adanto Vanguard
2,Ashes of the Abhorrent
3,Axis of Mortality
4,Bellowing Aegisaur
5,Bishop of Rebirth
6,Bishop's Soldier
7,Bright Reprisal
8,Demystify
9,Duskborne Skymarcher
10,Emissary of Sunrise
11,Encampment Keeper
12,Glorifier of Dusk
13,Goring Ceratops
14,Imperial Aerosaur
15,Imperial Lancer
16,Inspiring Cleric
17,Ixalan's Binding
18,Kinjalli's Caller
19,Kinjalli's Sunwing
20,Legion Conquistador
21,Legion's Judgment
22,"Legion's Landing // Adanto, the First Fort"
23,"Legion's Landing // Adanto, the First Fort"
24,Looming Altisaur
25,"Mavren Fein, Dusk Apostle"
26,Paladin of the Bloodstained
27,Pious Interdiction
28,Priest of the Wakening Sun
29,Pterodon Knight
30,Queen's Commission
31,Rallying Roar
32,Raptor Companion
33,Ritual of Rejuvenation
34,Sanguine Sacrament
35,Settle the Wreckage
36,Sheltering Light
37,Shining Aerosaur
38,Skyblade of the Legion
39,Slash of Talons
40,Steadfast Armasaur
41,Sunrise Seeker
42,Territorial Hammerskull
43,Tocatli Honor Guard
44,Vampire's Zeal
45,Wakening Sun's Avatar
46,Air Elemental
47,Arcane Adaptation
48,Cancel
49,Chart a Course
50,Daring Saboteur
51,Deadeye Quartermaster
52,Deeproot Waters
53,Depths of Desire
54,Dive Down
55,Dreamcaller Siren
56,Entrancing Melody
57,Favorable Winds
58,Fleet Swallower
59,Headwater Sentries
60,Herald of Secret Streams
61,"Jace, Cunning Castaway"
62,"Kopala, Warden of Waves"
63,Lookout's Dispersal
64,Navigator's Ruin
65,One With the Wind
66,Opt
67,Overflowing Insight
68,Perilous Voyage
69,Pirate's Prize
70,Prosperous Pirates
71,River Sneak
72,River's Rebuke
73,Run Aground
74,Sailor of Means
75,"Search for Azcanta // Azcanta, the Sunken Ruin"
76,"Search for Azcanta // Azcanta, the Sunken Ruin"
77,Shaper Apprentice
78,Shipwreck Looter
79,Shore Keeper
80,Siren Lookout
81,Siren Stormtamer
82,Siren's Ruse
83,Spell Pierce
84,Spell Swindle
85,Storm Fleet Aerialist
86,Storm Fleet Spy
87,Storm Sculptor
88,Tempest Caller
89,Watertrap Weaver
90,Wind Strider
91,Anointed Deacon
92,Arguel's Blood Fast // Temple of Aclazotz
93,Arguel's Blood Fast // Temple of Aclazotz
94,Bishop of the Bloodstained
95,Blight Keeper
96,Bloodcrazed Paladin
97,Boneyard Parley
98,Contract Killing
99,Costly Plunder
100,Dark Nourishment
101,Deadeye Tormentor
102,Deadeye Tracker
103,Deathless Ancient
104,Desperate Castaways
105,Dire Fleet Hoarder
106,Dire Fleet Interloper
107,Dire Fleet Ravager
108,Duress
109,Fathom Fleet Captain
110,Fathom Fleet Cutthroat
111,Grim Captain's Call
112,Heartless Pillage
113,Kitesail Freebooter
114,Lurking Chupacabra
115,March of the Drowned
116,Mark of the Vampire
117,Queen's Agent
118,Queen's Bay Soldier
119,Raiders' Wake
120,Revel in Riches
121,Ruin Raider
122,Ruthless Knave
123,Sanctum Seeker
124,Seekers' Squire
125,Skittering Heartstopper
126,Skulduggery
127,Skymarch Bloodletter
128,Spreading Rot
129,Sword-Point Diplomacy
130,Vanquish the Weak
131,Vicious Conquistador
132,Vraska's Contempt
133,Walk the Plank
134,Wanted Scoundrels
135,Angrath's Marauders
136,Bonded Horncrest
137,Brazen Buccaneers
138,Burning Sun's Avatar
139,Captain Lannery Storm
140,Captivating Crew
141,Charging Monstrosaur
142,Demolish
143,Dinosaur Stampede
144,Dual Shot
145,Fathom Fleet Firebrand
146,Fiery Cannonade
147,Fire Shrine Keeper
148,Firecannon Blast
149,Frenzied Raptor
150,Headstrong Brute
151,Hijack
152,Lightning Strike
153,Lightning-Rig Crew
154,Makeshift Munitions
155,Nest Robber
156,Otepec Huntmaster
157,Rampaging Ferocidon
158,Raptor Hatchling
159,Repeating Barrage
160,Rigging Runner
161,Rile
162,Rowdy Crew
163,Rummaging Goblin
164,Star of Extinction
165,Storm Fleet Arsonist
166,Storm Fleet Pyromancer
167,Sun-Crowned Hunters
168,Sunbird's Invocation
169,Sure Strike
170,Swashbuckling
171,Thrash of Raptors
172,Tilonalli's Knight
173,Tilonalli's Skinshifter
174,Trove of Temptation
175,Unfriendly Fire
176,Vance's Blasting Cannons // Spitfire Bastion
177,Vance's Blasting Cannons // Spitfire Bastion
178,Wily Goblin
179,Ancient Brontodon
180,Atzocan Archer
181,Blinding Fog
182,Blossom Dryad
183,Carnage Tyrant
184,Colossal Dreadmaw
185,Commune with Dinosaurs
186,Crash the Ramparts
187,Crushing Canopy
188,Deathgorge Scavenger
189,Deeproot Champion
190,Deeproot Warrior
191,Drover of the Mighty
192,Emergent Growth
193,Emperor's Vanguard
194,Grazing Whiptail
195,"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun"
196,"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun"
197,Ixalli's Diviner
198,Ixalli's Keeper
199,Jade Guardian
200,Jungle Delver
201,Kumena's Speaker
202,Merfolk Branchwalker
203,New Horizons
204,Old-Growth Dryads
205,Pounce
206,Ranging Raptors
207,Ravenous Daggertooth
208,Ripjaw Raptor
209,River Heralds' Boon
210,Savage Stomp
211,Shapers' Sanctuary
212,Slice in Twain
213,Snapping Sailback
214,Spike-Tailed Ceratops
215,Thundering Spineback
216,Tishana's Wayfinder
217,Verdant Rebirth
218,Verdant Sun's Avatar
219,Vineshaper Mystic
220,Waker of the Wilds
221,Wildgrowth Walker
222,Admiral Beckett Brass
223,Belligerent Brontodon
224,Call to the Feast
225,Deadeye Plunderers
226,Dire Fleet Captain
227,"Gishath, Sun's Avatar"
228,Hostage Taker
229,"Huatli, Warrior Poet"
230,Marauding Looter
231,Raging Swordtooth
232,Regisaur Alpha
233,Shapers of Nature
234,Sky Terror
235,"Tishana, Voice of Thunder"
236,"Vona, Butcher of Magan"
237,"Vraska, Relic Seeker"
238,Cobbled Wings
239,Conqueror's Galleon // Conqueror's Foothold
240,Conqueror's Galleon // Conqueror's Foothold
241,Dowsing Dagger // Lost Vale
242,Dowsing Dagger // Lost Vale
243,Dusk Legion Dreadnought
244,Elaborate Firecannon
245,Fell Flagship
246,Gilded Sentinel
247,Hierophant's Chalice
248,Pillar of Origins
249,Pirate's Cutlass
250,Primal Amulet // Primal Wellspring
251,Primal Amulet // Primal Wellspring
252,Prying Blade
253,Sentinel Totem
254,Shadowed Caravel
255,Sleek Schooner
256,Sorcerous Spyglass
257,Thaumatic Compass // Spires of Orazca
258,Thaumatic Compass // Spires of Orazca
259,Treasure Map // Treasure Cove
260,Treasure Map // Treasure Cove
261,Vanquisher's Banner
262,Dragonskull Summit
263,Drowned Catacomb
264,Field of Ruin
265,Glacial Fortress
266,Rootbound Crag
267,Sunpetal Grove
268,Unclaimed Territory
269,Unknown Shores
270,Plains
271,Plains
272,Plains
273,Plains
274,Island
275,Island
276,Island
277,Island
278,Swamp
279,Swamp
280,Swamp
281,Swamp
282,Mountain
283,Mountain
284,Mountain
285,Mountain
286,Forest
287,Forest
288,Forest
289,Forest
290,"Jace, Ingenious Mind-Mage"
291,Castaway's Despair
292,Grasping Current
293,Jace's Sentinel
294,Woodland Stream
295,"Huatli, Dinosaur Knight"
296,Huatli's Snubhorn
297,Huatli's Spurring
298,Sun-Blessed Mount
299,Stone Quarry
