id,card_name,image_url
1,Adanto Vanguard,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435152&type=card
2,Ashes of the Abhorrent,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435153&type=card
3,Axis of Mortality,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435154&type=card
4,Bellowing Aegisaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435155&type=card
5,Bishop of Rebirth,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435156&type=card
6,Bishop's Soldier,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435157&type=card
7,Bright Reprisal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435158&type=card
8,Demystify,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435159&type=card
9,Duskborne Skymarcher,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435160&type=card
10,Emissary of Sunrise,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435161&type=card
11,Encampment Keeper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435162&type=card
12,Glorifier of Dusk,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435163&type=card
13,Goring Ceratops,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435164&type=card
14,Imperial Aerosaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435165&type=card
15,Imperial Lancer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435166&type=card
16,Inspiring Cleric,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435167&type=card
17,Ixalan's Binding,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435168&type=card
18,Kinjalli's Caller,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435169&type=card
19,Kinjalli's Sunwing,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435170&type=card
20,Legion Conquistador,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435171&type=card
21,Legion's Judgment,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435172&type=card
22,"Legion's Landing // Adanto, the First Fort",0
23,"Legion's Landing // Adanto, the First Fort",0
24,Looming Altisaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435175&type=card
25,"Mavren Fein, Dusk Apostle",http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435176&type=card
26,Paladin of the Bloodstained,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435177&type=card
27,Pious Interdiction,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435178&type=card
28,Priest of the Wakening Sun,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435179&type=card
29,Pterodon Knight,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435180&type=card
30,Queen's Commission,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435181&type=card
31,Rallying Roar,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435182&type=card
32,Raptor Companion,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435183&type=card
33,Ritual of Rejuvenation,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435184&type=card
34,Sanguine Sacrament,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435185&type=card
35,Settle the Wreckage,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435186&type=card
36,Sheltering Light,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435187&type=card
37,Shining Aerosaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435188&type=card
38,Skyblade of the Legion,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435189&type=card
39,Slash of Talons,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435190&type=card
40,Steadfast Armasaur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435191&type=card
41,Sunrise Seeker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435192&type=card
42,Territorial Hammerskull,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435193&type=card
43,Tocatli Honor Guard,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435194&type=card
44,Vampire's Zeal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435195&type=card
45,Wakening Sun's Avatar,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435196&type=card
46,Air Elemental,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435197&type=card
47,Arcane Adaptation,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435198&type=card
48,Cancel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189001&type=card
49,Chart a Course,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435200&type=card
50,Daring Saboteur,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435201&type=card
51,Deadeye Quartermaster,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435202&type=card
52,Deeproot Waters,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435203&type=card
53,Depths of Desire,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435204&type=card
54,Dive Down,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435205&type=card
55,Dreamcaller Siren,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435206&type=card
56,Entrancing Melody,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435207&type=card
57,Favorable Winds,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435208&type=card
58,Fleet Swallower,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435209&type=card
59,Headwater Sentries,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435210&type=card
60,Herald of Secret Streams,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435211&type=card
61,"Jace, Cunning Castaway",http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435212&type=card
62,"Kopala, Warden of Waves",http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435213&type=card
63,Lookout's Dispersal,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435214&type=card
64,Navigator's Ruin,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435215&type=card
65,One With the Wind,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435216&type=card
66,Opt,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435217&type=card
67,Overflowing Insight,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435218&type=card
68,Perilous Voyage,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435219&type=card
69,Pirate's Prize,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435220&type=card
70,Prosperous Pirates,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435221&type=card
71,River Sneak,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435222&type=card
72,River's Rebuke,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435223&type=card
73,Run Aground,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435224&type=card
74,Sailor of Means,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435225&type=card
75,"Search for Azcanta // Azcanta, the Sunken Ruin",0
76,"Search for Azcanta // Azcanta, the Sunken Ruin",0
77,Shaper Apprentice,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435228&type=card
78,Shipwreck Looter,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435229&type=card
79,Shore Keeper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435230&type=card
80,Siren Lookout,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435231&type=card
81,Siren Stormtamer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435232&type=card
82,Siren's Ruse,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435233&type=card
83,Spell Pierce,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=178144&type=card
84,Spell Swindle,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435235&type=card
85,Storm Fleet Aerialist,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435236&type=card
86,Storm Fleet Spy,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435237&type=card
87,Storm Sculptor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435238&type=card
88,Tempest Caller,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435239&type=card
89,Watertrap Weaver,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435240&type=card
90,Wind Strider,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435241&type=card
91,Anointed Deacon,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435242&type=card
92,Arguel's Blood Fast // Temple of Aclazotz,0
93,Arguel's Blood Fast // Temple of Aclazotz,0
94,Bishop of the Bloodstained,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435245&type=card
95,Blight Keeper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435246&type=card
96,Bloodcrazed Paladin,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435247&type=card
97,Boneyard Parley,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435248&type=card
98,Contract Killing,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435249&type=card
99,Costly Plunder,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435250&type=card
100,Dark Nourishment,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435251&type=card
101,Deadeye Tormentor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435252&type=card
102,Deadeye Tracker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435253&type=card
103,Deathless Ancient,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435254&type=card
104,Desperate Castaways,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435255&type=card
105,Dire Fleet Hoarder,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435256&type=card
106,Dire Fleet Interloper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435257&type=card
107,Dire Fleet Ravager,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435258&type=card
108,Duress,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435259&type=card
109,Fathom Fleet Captain,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435260&type=card
110,Fathom Fleet Cutthroat,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435261&type=card
111,Grim Captain's Call,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435262&type=card
112,Heartless Pillage,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435263&type=card
113,Kitesail Freebooter,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435264&type=card
114,Lurking Chupacabra,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435265&type=card
115,March of the Drowned,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435266&type=card
116,Mark of the Vampire,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435267&type=card
117,Queen's Agent,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435268&type=card
118,Queen's Bay Soldier,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435269&type=card
119,Raiders' Wake,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435270&type=card
120,Revel in Riches,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435271&type=card
121,Ruin Raider,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435272&type=card
122,Ruthless Knave,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435273&type=card
123,Sanctum Seeker,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435274&type=card
124,Seekers' Squire,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435275&type=card
125,Skittering Heartstopper,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435276&type=card
126,Skulduggery,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435277&type=card
127,Skymarch Bloodletter,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435278&type=card
128,Spreading Rot,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435279&type=card
129,Sword-Point Diplomacy,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=435280&type=card
130,Vanquish the Weak,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491769&type=card
