id,card_name
1,Angel of Grace
2,Angelic Exaltation
3,Archway Angel
4,Arrester's Zeal
5,Bring to Trial
6,Civic Stalwart
7,Concordia Pegasus
8,Expose to Daylight
9,Forbidding Spirit
10,Haazda Officer
11,Hero of Precinct One
12,Impassioned Orator
13,Justiciar's Portal
14,Knight of Sorrows
15,Lumbering Battlement
16,Ministrant of Obligation
17,Prowling Caracal
18,Rally to Battle
19,Resolute Watchdog
20,Sentinel's Mark
21,Sky Tether
22,Smothering Tithe
23,Spirit of the Spires
24,Summary Judgment
25,Syndicate Messenger
26,Tenth District Veteran
27,Tithe Taker
28,Twilight Panther
29,Unbreakable Formation
30,Watchful Giant
31,Arrester's Admonition
32,Benthic Biomancer
33,Chillbringer
34,Clear the Mind
35,Code of Constraint
36,Coral Commando
37,Essence Capture
38,Eyes Everywhere
39,Faerie Duelist
40,Gateway Sneak
41,Humongulus
42,Mass Manipulation
43,Mesmerizing Benthid
44,Persistent Petitioners
45,Precognitive Perception
46,Prying Eyes
47,Pteramander
48,Quench
49,Sage's Row Savant
50,Senate Courier
51,Shimmer of Possibility
52,Skatewing Spy
53,Skitter Eel
54,Slimebind
55,Sphinx of Foresight
56,Swirling Torrent
57,Thought Collapse
58,Verity Circle
59,Wall of Lost Thoughts
60,Windstorm Drake
61,Awaken the Erstwhile
62,Bankrupt in Blood
63,Blade Juggler
64,Bladebrand
65,Bloodmist Infiltrator
66,Carrion Imp
67,Catacomb Crocodile
68,Clear the Stage
69,Consign to the Pit
70,Cry of the Carnarium
71,Dead Revels
72,Debtors' Transport
73,Drill Bit
74,Font of Agonies
75,Grotesque Demise
76,Gutterbones
77,Ill-Gotten Inheritance
78,Noxious Groodion
79,Orzhov Enforcer
80,Orzhov Racketeers
81,Pestilent Spirit
82,Plague Wight
83,Priest of Forgotten Gods
84,Rakdos Trumpeter
85,Spawn of Mayhem
86,Spire Mangler
87,Thirsting Shade
88,Undercity Scavenger
89,Undercity's Embrace
90,Vindictive Vampire
91,Act of Treason
92,Amplifire
93,Burn Bright
94,Burning-Tree Vandal
95,Cavalcade of Calamity
96,Clamor Shaman
97,Dagger Caster
98,Deface
99,Electrodominance
100,Feral Maaka
101,Flames of the Raze-Boar
102,Gates Ablaze
103,Ghor-Clan Wrecker
104,Goblin Gathering
105,Gravel-Hide Goblin
106,Immolation Shaman
107,Light Up the Stage
108,Mirror March
109,Rix Maadi Reveler
110,Rubble Reading
111,Rubblebelt Recluse
112,Rumbling Ruin
113,Scorchmark
114,Skarrgan Hellkite
115,Skewer the Critics
116,Smelt-Ward Ignus
117,Spear Spewer
118,Spikewheel Acrobat
119,Storm Strike
120,Tin Street Dodger
121,Axebane Beast
122,Biogenic Ooze
123,Biogenic Upgrade
124,End-Raze Forerunners
125,Enraged Ceratok
126,Gatebreaker Ram
127,Gift of Strength
128,Growth-Chamber Guardian
129,Gruul Beastmaster
130,Guardian Project
131,Incubation Druid
132,Mammoth Spider
133,Open the Gates
134,Rampage of the Clans
135,Rampaging Rendhorn
136,Regenesis
137,Root Snare
138,Sagittars' Volley
139,Saruli Caretaker
140,Sauroform Hybrid
141,Silhana Wayfinder
142,Steeple Creeper
