id,card_name,image_url
1,Alseid of Life's Bounty,0
2,Archon of Falling Stars,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476253&type=card
3,Archon of Sun's Grace,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476254&type=card
4,Banishing Light,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495949&type=card
5,The Birth of Meletis,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476256&type=card
6,Captivating Unicorn,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476257&type=card
7,Commanding Presence,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476258&type=card
8,Dawn Evangel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476259&type=card
9,"Daxos, Blessed by the Sun",http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476260&type=card
10,Daybreak Chimera,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476261&type=card
11,Dreadful Apathy,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476262&type=card
12,Eidolon of Obstruction,0
13,Elspeth Conquers Death,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476264&type=card
14,"Elspeth, Sun's Nemesis",0
15,Favored of Iroas,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476266&type=card
16,Flicker of Fate,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476267&type=card
17,Glory Bearers,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476268&type=card
18,"Heliod, Sun-Crowned",0
19,Heliod's Intervention,0
20,Heliod's Pilgrim,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=456615&type=card
21,Heliod's Punishment,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476272&type=card
22,Hero of the Pride,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476273&type=card
23,Hero of the Winds,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476274&type=card
24,Idyllic Tutor,0
25,Indomitable Will,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476276&type=card
26,Karametra's Blessing,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476277&type=card
27,Lagonna-Band Storyteller,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476278&type=card
28,Leonin of the Lost Pride,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476279&type=card
29,Nyxborn Courser,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476280&type=card
30,Omen of the Sun,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=476281&type=card
