id,card_name
1,Acclaimed Contender
2,All That Glitters
3,Archon of Absolution
4,Ardenvale Paladin
5,Ardenvale Tactician // Dizzying Swoop
6,Ardenvale Tactician // Dizzying Swoop
7,Bartered Cow
8,Beloved Princess
9,Charming Prince
10,The Circle of Loyalty
11,Deafening Silence
12,Faerie Guidemother // Gift of the Fae
13,Faerie Guidemother // Gift of the Fae
14,Flutterfox
15,Fortifying Provisions
16,Giant Killer // Chop Down
17,Giant Killer // Chop Down
18,Glass Casket
19,Happily Ever After
20,Harmonious Archon
21,Hushbringer
22,Knight of the Keep
23,"Linden, the Steadfast Queen"
24,Lonesome Unicorn // Rider in Need
25,Lonesome Unicorn // Rider in Need
26,Mysterious Pathlighter
27,Outflank
28,Prized Griffin
29,Rally for the Throne
30,Realm-Cloaked Giant // Cast Off
31,Realm-Cloaked Giant // Cast Off
32,Righteousness
33,Shepherd of the Flock // Usher to Safety
34,Shepherd of the Flock // Usher to Safety
35,Shining Armor
36,Silverflame Ritual
37,Silverflame Squire // On Alert
38,Silverflame Squire // On Alert
39,"Syr Alin, the Lion's Claw"
40,Trapped in the Tower
41,True Love's Kiss
42,Venerable Knight
43,Worthy Knight
44,Youthful Knight
45,Animating Faerie // Bring to Life
46,Animating Faerie // Bring to Life
47,Brazen Borrower // Petty Theft
48,Brazen Borrower // Petty Theft
49,Charmed Sleep
50,Corridor Monitor
51,Didn't Say Please
52,"Emry, Lurker of the Loch"
53,Fae of Wishes // Granted
54,Fae of Wishes // Granted
55,Faerie Vandal
56,Folio of Fancies
57,Frogify
58,"Gadwick, the Wizened"
59,Hypnotic Sprite // Mesmeric Glare
60,Hypnotic Sprite // Mesmeric Glare
61,Into the Story
62,The Magic Mirror
63,Mantle of Tides
64,Merfolk Secretkeeper // Venture Deeper
65,Merfolk Secretkeeper // Venture Deeper
66,Midnight Clock
67,Mirrormade
68,Mistford River Turtle
69,Moonlit Scavengers
70,Mystical Dispute
71,Opt
72,Overwhelmed Apprentice
73,Queen of Ice // Rage of Winter
74,Queen of Ice // Rage of Winter
75,Run Away Together
76,Sage of the Falls
77,So Tiny
78,Steelgaze Griffin
79,Stolen by the Fae
80,"Syr Elenora, the Discerning"
81,Tome Raider
82,Turn into a Pumpkin
83,Unexplained Vision
84,Vantress Gargoyle
85,Vantress Paladin
86,Wishful Merfolk
87,Witching Well
88,"Ayara, First of Locthwain"
89,Bake into a Pie
90,Barrow Witches
91,Belle of the Brawl
92,Blacklance Paragon
93,Bog Naughty
94,Cauldron Familiar
95,The Cauldron of Eternity
96,Cauldron's Gift
97,Clackbridge Troll
98,Epic Downfall
99,Eye Collector
100,Festive Funeral
101,Foreboding Fruit
102,Forever Young
103,Foulmire Knight // Profane Insight
104,Foulmire Knight // Profane Insight
105,Giant's Skewer
106,Lash of Thorns
107,Locthwain Paladin
108,Lost Legion
109,Malevolent Noble
110,Memory Theft
111,Murderous Rider // Swift End
112,Murderous Rider // Swift End
113,Oathsworn Knight
114,Order of Midnight // Alter Fate
115,Order of Midnight // Alter Fate
116,Piper of the Swarm
117,"Rankle, Master of Pranks"
118,Reaper of Night // Harvest Fear
119,Reaper of Night // Harvest Fear
120,Reave Soul
121,Revenge of Ravens
122,Smitten Swordmaster // Curry Favor
123,Smitten Swordmaster // Curry Favor
124,Specter's Shriek
125,"Syr Konrad, the Grim"
126,Tempting Witch
127,Wicked Guardian
128,Wishclaw Talisman
129,Witch's Vengeance
130,Barge In
131,Bloodhaze Wolverine
132,Blow Your House Down
133,Bonecrusher Giant // Stomp
134,Bonecrusher Giant // Stomp
135,Brimstone Trebuchet
136,Burning-Yard Trainer
137,Claim the Firstborn
138,Crystal Slipper
139,Embercleave
140,Embereth Paladin
141,Embereth Shieldbreaker // Battle Display
142,Embereth Shieldbreaker // Battle Display
143,Ferocity of the Wilds
144,Fervent Champion
145,Fires of Invention
146,Fling
147,Irencrag Feat
148,Irencrag Pyromancer
149,Joust
150,Mad Ratter
151,Merchant of the Vale // Haggle
152,Merchant of the Vale // Haggle
153,Ogre Errant
154,Opportunistic Dragon
155,Raging Redcap
156,Redcap Melee
157,Redcap Raiders
158,Rimrock Knight // Boulder Rush
159,Rimrock Knight // Boulder Rush
160,Robber of the Rich
161,Scorching Dragonfire
162,Searing Barrage
163,Seven Dwarves
164,Skullknocker Ogre
165,Slaying Fire
166,Sundering Stroke
167,"Syr Carah, the Bold"
168,Thrill of Possibility
169,"Torbran, Thane of Red Fell"
170,Weaselback Redcap
171,Beanstalk Giant // Fertile Footsteps
172,Beanstalk Giant // Fertile Footsteps
173,Curious Pair // Treats to Share
174,Curious Pair // Treats to Share
175,Edgewall Innkeeper
176,Feasting Troll King
177,Fell the Pheasant
178,Fierce Witchstalker
