id,card_name
1,Allied Assault
2,Angel of Destiny
3,Angelheart Protector
4,Archon of Emeria
5,Archpriest of Iona
6,Attended Healer
7,Canyon Jerboa
8,Cliffhaven Sell-Sword
9,Dauntless Unity
10,Disenchant
11,Emeria Captain
12,"Emeria's Call // Emeria, Shattered Skyclave"
13,"Emeria's Call // Emeria, Shattered Skyclave"
14,Expedition Healer
15,Farsight Adept
16,Fearless Fledgling
17,Felidar Retreat
18,Journey to Oblivion
19,Kabira Outrider
20,Kabira Takedown // Kabira Plateau
21,Kabira Takedown // Kabira Plateau
22,Kitesail Cleric
23,Kor Blademaster
24,Kor Celebrant
25,Legion Angel
26,Luminarch Aspirant
27,Makindi Ox
28,Makindi Stampede // Makindi Mesas
29,Makindi Stampede // Makindi Mesas
30,Maul of the Skyclaves
31,Mesa Lynx
32,Nahiri's Binding
33,Ondu Inversion // Ondu Skyruins
34,Ondu Inversion // Ondu Skyruins
35,Paired Tactician
36,Practiced Tactics
37,Pressure Point
38,Prowling Felidar
39,Resolute Strike
40,Sea Gate Banneret
41,Sejiri Shelter // Sejiri Glacier
42,Sejiri Shelter // Sejiri Glacier
43,Shepherd of Heroes
44,Skyclave Apparition
45,Skyclave Cleric // Skyclave Basilica
46,Skyclave Cleric // Skyclave Basilica
47,Squad Commander
48,Smite the Monstrous
49,Tazeem Raptor
50,"Tazri, Beacon of Unity"
51,Anticognition
52,Beyeen Veil // Beyeen Coast
53,Beyeen Veil // Beyeen Coast
54,Bubble Snare
55,Cascade Seer
56,"Charix, the Raging Isle"
57,Chilling Trap
58,Cleric of Chill Depths
59,Concerted Defense
60,Confounding Conundrum
61,Coralhelm Chronicler
62,Cunning Geysermage
63,Deliberate
64,Expedition Diviner
65,Field Research
66,Glacial Grasp
67,Glasspool Mimic // Glasspool Shore
68,Glasspool Mimic // Glasspool Shore
69,Inscription of Insight
70,Into the Roil
71,"Jace, Mirror Mage"
72,Jwari Disruption // Jwari Ruins
73,Jwari Disruption // Jwari Ruins
74,Living Tempest
75,Lullmage's Domination
76,Maddening Cacophony
77,Master of Winds
78,Merfolk Falconer
79,Merfolk Windrobber
80,Negate
81,Nimble Trapfinder
82,Risen Riptide
83,Roost of Drakes
84,Ruin Crab
85,"Sea Gate Restoration // Sea Gate, Reborn"
86,"Sea Gate Restoration // Sea Gate, Reborn"
87,Sea Gate Stormcaller
88,Seafloor Stalker
89,Shell Shield
90,Silundi Vision // Silundi Isle
91,Silundi Vision // Silundi Isle
92,Skyclave Plunder
93,Skyclave Squid
94,Sure-Footed Infiltrator
95,Tazeem Roilmage
96,Thieving Skydiver
97,Umara Wizard // Umara Skyfalls
98,Umara Wizard // Umara Skyfalls
99,Windrider Wizard
100,Zulaport Duelist
101,Acquisitions Expert
102,"Agadeem's Awakening // Agadeem, the Undercrypt"
103,"Agadeem's Awakening // Agadeem, the Undercrypt"
104,Blackbloom Rogue // Blackbloom Bog
105,Blackbloom Rogue // Blackbloom Bog
106,Blood Beckoning
107,Blood Price
108,Bloodchief's Thirst
109,Coveted Prize
110,Deadly Alliance
111,Demon's Disciple
112,"Drana, the Last Bloodchief"
113,Drana's Silencer
114,Dreadwurm
115,Expedition Skulker
116,Feed the Swarm
117,Ghastly Gloomhunter
118,Guul Draz Mucklord
119,Hagra Constrictor
120,Hagra Mauling // Hagra Broodpit
121,Hagra Mauling // Hagra Broodpit
122,Highborn Vampire
123,Inscription of Ruin
124,Lithoform Blight
125,Malakir Blood-Priest
126,Malakir Rebirth // Malakir Mire
127,Malakir Rebirth // Malakir Mire
128,Marauding Blight-Priest
129,Mind Carver
130,Mind Drain
131,Nighthawk Scavenger
132,Nimana Skitter-Sneak
133,Nimana Skydancer
134,Nullpriest of Oblivion
135,Oblivion's Hunger
136,Pelakka Predation // Pelakka Caverns
137,Pelakka Predation // Pelakka Caverns
138,Scion of the Swarm
139,Scourge of the Skyclaves
140,Shadow Stinger
141,Shadows' Verdict
142,Skyclave Shade
143,Skyclave Shadowcat
144,Soul Shatter
145,Subtle Strike
146,"Taborax, Hope's Demise"
147,Thwart the Grave
148,Vanquish the Weak
149,Zof Consumption // Zof Bloodbog
150,Zof Consumption // Zof Bloodbog
151,Akoum Hellhound
152,Akoum Warrior // Akoum Teeth
153,Akoum Warrior // Akoum Teeth
154,Ardent Electromancer
155,Cinderclasm
156,Cleansing Wildfire
157,Expedition Champion
158,Fireblade Charger
159,Fissure Wizard
160,Goma Fada Vanguard
161,Grotag Bug-Catcher
162,Grotag Night-Runner
163,Inordinate Rage
164,Kargan Intimidator
165,Kazuul's Fury // Kazuul's Cliffs
166,Kazuul's Fury // Kazuul's Cliffs
167,Leyline Tyrant
168,Magmatic Channeler
169,Molten Blast
170,"Moraug, Fury of Akoum"
171,Nahiri's Lithoforming
172,Pyroclastic Hellion
173,Relic Robber
174,Rockslide Sorcerer
175,Roil Eruption
176,Roiling Vortex
177,Scavenged Blade
178,Scorch Rider
179,Shatterskull Charger
180,Shatterskull Minotaur
181,"Shatterskull Smashing // Shatterskull, the Hammer Pass"
182,"Shatterskull Smashing // Shatterskull, the Hammer Pass"
183,Sizzling Barrage
184,Skyclave Geopede
185,Sneaking Guide
186,Song-Mad Treachery // Song-Mad Ruins
187,Song-Mad Treachery // Song-Mad Ruins
188,Spikefield Hazard // Spikefield Cave
189,Spikefield Hazard // Spikefield Cave
190,Spitfire Lagac
191,Synchronized Spellcraft
192,Teeterpeak Ambusher
193,Thundering Rebuke
194,Thundering Sparkmage
195,Tormenting Voice
196,Tuktuk Rubblefort
197,Valakut Awakening // Valakut Stoneforge
198,Valakut Awakening // Valakut Stoneforge
199,Valakut Exploration
200,Wayward Guide-Beast
201,Adventure Awaits
202,Ancient Greenwarden
203,"Ashaya, Soul of the Wild"
204,Bala Ged Recovery // Bala Ged Sanctuary
205,Bala Ged Recovery // Bala Ged Sanctuary
206,Broken Wings
207,Canopy Baloth
208,Cragplate Baloth
209,Dauntless Survivor
210,Gnarlid Colony
211,Inscription of Abundance
212,Iridescent Hornbeetle
213,Joraga Visionary
214,Kazandu Mammoth // Kazandu Valley
215,Kazandu Mammoth // Kazandu Valley
216,Kazandu Nectarpot
217,Kazandu Stomper
218,Khalni Ambush // Khalni Territory
219,Khalni Ambush // Khalni Territory
220,Lotus Cobra
221,Might of Murasa
222,Murasa Brute
223,Murasa Sproutling
224,Nissa's Zendikon
225,Oran-Rief Ooze
226,Rabid Bite
227,Reclaim the Wastes
228,Roiling Regrowth
229,Scale the Heights
230,Scute Swarm
231,Skyclave Pick-Axe
232,Springmantle Cleric
233,Strength of Solidarity
234,Swarm Shambler
235,Tajuru Blightblade
236,Tajuru Paragon
237,Tajuru Snarecaster
238,Tangled Florahedron // Tangled Vale
239,Tangled Florahedron // Tangled Vale
240,Taunting Arbormage
241,Territorial Scythecat
242,Turntimber Ascetic
243,"Turntimber Symbiosis // Turntimber, Serpentine Wood"
244,"Turntimber Symbiosis // Turntimber, Serpentine Wood"
