id,card_name,image_url
1,Allied Assault,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491622&type=card
2,Angel of Destiny,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495593&type=card
3,Angelheart Protector,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491624&type=card
4,Archon of Emeria,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491625&type=card
5,Archpriest of Iona,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491626&type=card
6,Attended Healer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491627&type=card
7,Canyon Jerboa,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491628&type=card
8,Cliffhaven Sell-Sword,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491629&type=card
9,Dauntless Unity,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491630&type=card
10,Disenchant,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491631&type=card
11,Emeria Captain,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491632&type=card
12,"Emeria's Call // Emeria, Shattered Skyclave",0
13,"Emeria's Call // Emeria, Shattered Skyclave",0
14,Expedition Healer,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491635&type=card
15,Farsight Adept,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491636&type=card
16,Fearless Fledgling,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495187&type=card
17,Felidar Retreat,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495188&type=card
18,Journey to Oblivion,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491639&type=card
19,Kabira Outrider,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491640&type=card
20,Kabira Takedown // Kabira Plateau,0
21,Kabira Takedown // Kabira Plateau,0
22,Kitesail Cleric,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491643&type=card
23,Kor Blademaster,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491644&type=card
24,Kor Celebrant,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491645&type=card
25,Legion Angel,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495598&type=card
26,Luminarch Aspirant,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495599&type=card
27,Makindi Ox,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495189&type=card
28,Makindi Stampede // Makindi Mesas,0
29,Makindi Stampede // Makindi Mesas,0
30,Maul of the Skyclaves,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=495600&type=card
31,Mesa Lynx,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491652&type=card
32,Nahiri's Binding,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491653&type=card
33,Ondu Inversion // Ondu Skyruins,0
34,Ondu Inversion // Ondu Skyruins,0
35,Paired Tactician,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491656&type=card
36,Practiced Tactics,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491657&type=card
37,Pressure Point,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491658&type=card
38,Prowling Felidar,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491659&type=card
39,Resolute Strike,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491660&type=card
40,Sea Gate Banneret,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491661&type=card
41,Sejiri Shelter // Sejiri Glacier,0
42,Sejiri Shelter // Sejiri Glacier,0
43,Shepherd of Heroes,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491664&type=card
44,Skyclave Apparition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491665&type=card
45,Skyclave Cleric // Skyclave Basilica,0
46,Skyclave Cleric // Skyclave Basilica,0
47,Squad Commander,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491668&type=card
48,Smite the Monstrous,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491669&type=card
49,Tazeem Raptor,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491670&type=card
50,"Tazri, Beacon of Unity",http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491671&type=card
51,Anticognition,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=491672&type=card
52,Beyeen Veil // Beyeen Coast,0
53,Beyeen Veil // Beyeen Coast,0
