id,card_name
1,Armament Master
2,Arrow Volley Trap
3,Bold Defense
4,Brave the Elements
5,Caravan Hurda
6,Celestial Mantle
7,Cliff Threader
8,Conqueror's Pledge
9,Day of Judgment
10,Devout Lightcaster
11,Emeria Angel
12,Felidar Sovereign
13,"Iona, Shield of Emeria"
14,Journey to Nowhere
15,Kabira Evangel
16,Kazandu Blademaster
17,Kor Aeronaut
18,Kor Cartographer
19,Kor Duelist
20,Kor Hookmaster
21,Kor Outfitter
22,Kor Sanctifiers
23,Kor Skyfisher
24,Island
25,Island
26,Island
27,Island
28,Landbind Ritual
29,Luminarch Ascension
30,Makindi Shieldmate
31,Narrow Escape
32,Nimbus Wings
33,Noble Vestige
34,Ondu Cleric
35,Pillarfield Ox
36,Pitfall Trap
37,Quest for the Holy Relic
38,Shepherd of the Lost
39,Shieldmate's Blessing
40,Steppe Lynx
41,Sunspring Expedition
42,Windborne Charge
43,World Queller
44,Aether Figment
45,Archive Trap
46,Archmage Ascension
47,Caller of Gales
48,Cancel
49,Cosi's Trickster
50,Gomazoa
51,Hedron Crab
52,Into the Roil
53,Ior Ruin Expedition
54,Kraken Hatchling
55,Lethargy Trap
56,Living Tsunami
57,"Lorthos, the Tidemaker"
58,Lullmage Mentor
59,Merfolk Seastalkers
60,Merfolk Wayfinder
61,Mindbreak Trap
62,Paralyzing Grasp
63,Reckless Scholar
64,Rite of Replication
65,Roil Elemental
66,Sea Gate Loremaster
67,Seascape Aerialist
68,Shoal Serpent
69,Sky Ruin Drake
70,Spell Pierce
71,Sphinx of Jwar Isle
72,Sphinx of Lost Truths
73,Spreading Seas
74,Summoner's Bane
75,Tempest Owl
76,Trapfinder's Trick
77,Trapmaker's Snare
78,Umara Raptor
79,Welkin Tern
80,Whiplash Trap
81,Windrider Eel
82,Bala Ged Thief
83,Blood Seeker
84,Blood Tribute
85,Bloodchief Ascension
86,Bloodghast
87,Bog Tatters
88,Crypt Ripper
89,Desecrated Earth
90,Disfigure
91,Feast of Blood
92,Gatekeeper of Malakir
93,Giant Scorpion
94,Grim Discovery
95,Guul Draz Specter
96,Guul Draz Vampire
97,Hagra Crocodile
98,Hagra Diabolist
99,Halo Hunter
100,Heartstabber Mosquito
101,Hideous End
102,"Kalitas, Bloodchief of Ghet"
103,Malakir Bloodwitch
104,Marsh Casualties
105,Mind Sludge
106,Mindless Null
107,Mire Blight
108,Needlebite Trap
109,Nimana Sell-Sword
110,"Ob Nixilis, the Fallen"
111,Quest for the Gravelord
112,Ravenous Trap
113,Sadistic Sacrament
114,Sorin Markov
115,Soul Stair Expedition
116,Surrakar Marauder
117,Vampire Hexmage
118,Vampire Lacerator
119,Vampire Nighthawk
120,Vampire's Bite
121,Bladetusk Boar
122,Burst Lightning
123,Chandra Ablaze
124,Demolish
125,Electropotence
126,Elemental Appeal
127,Geyser Glider
128,Goblin Bushwhacker
129,Goblin Guide
130,Goblin Ruinblaster
131,Goblin Shortcutter
132,Goblin War Paint
133,Hellfire Mongrel
134,Hellkite Charger
135,Highland Berserker
136,Inferno Trap
137,Kazuul Warlord
138,Lavaball Trap
139,Magma Rift
140,Mark of Mutiny
141,Molten Ravager
142,Murasa Pyromancer
143,Obsidian Fireheart
144,Plated Geopede
145,Punishing Fire
146,Pyromancer Ascension
147,Quest for Pure Flame
148,Ruinous Minotaur
149,Runeflare Trap
150,Seismic Shudder
151,Shatterskull Giant
152,Slaughter Cry
153,Spire Barrage
154,Torch Slinger
155,Tuktuk Grunts
156,Unstable Footing
157,Warren Instigator
158,Zektar Shrine Expedition
159,Baloth Cage Trap
160,Baloth Woodcrasher
161,Beast Hunt
162,Beastmaster Ascension
163,Cobra Trap
164,Frontier Guide
165,Gigantiform
166,Grazing Gladehart
167,Greenweaver Druid
168,Harrow
169,Joraga Bard
170,Khalni Heart Expedition
171,Lotus Cobra
172,Mold Shambler
173,Nissa Revane
174,Nissa's Chosen
175,Oracle of Mul Daya
176,Oran-Rief Recluse
177,Oran-Rief Survivalist
178,Predatory Urge
179,Primal Bellow
180,Quest for the Gemblades
181,Rampaging Baloths
182,Relic Crush
183,River Boa
184,Savage Silhouette
185,Scute Mob
186,Scythe Tiger
187,Summoning Trap
188,Tajuru Archer
189,Tanglesap
190,Terra Stomper
191,Territorial Baloth
192,Timbermaw Larva
193,Turntimber Basilisk
194,Turntimber Ranger
195,Vastwood Gorger
196,Vines of Vastwood
197,Zendikar Farguide
198,Adventuring Gear
199,Blade of the Bloodchief
200,Blazing Torch
201,Carnage Altar
202,Eldrazi Monument
203,Eternity Vessel
204,Expedition Map
205,Explorer's Scope
206,Grappling Hook
207,Hedron Scrabbler
208,Khalni Gem
209,Spidersilk Net
210,Stonework Puma
211,Trailblazer's Boots
212,Trusty Machete
213,Akoum Refuge
214,Arid Mesa
215,Crypt of Agadeem
216,"Emeria, the Sky Ruin"
217,Graypelt Refuge
218,Jwar Isle Refuge
219,Kabira Crossroads
220,Kazandu Refuge
221,"Magosi, the Waterveil"
222,Marsh Flats
223,Misty Rainforest
224,"Oran-Rief, the Vastwood"
225,Piranha Marsh
226,Scalding Tarn
227,Sejiri Refuge
228,Soaring Seacliff
229,Teetering Peaks
230,Turntimber Grove
231,"Valakut, the Molten Pinnacle"
232,Verdant Catacombs
233,Plains
234,Plains
235,Plains
236,Plains
237,Plains
238,Plains
239,Plains
240,Plains
241,Island
242,Island
243,Island
244,Island
245,Swamp
246,Swamp
247,Swamp
248,Swamp
249,Swamp
250,Swamp
251,Swamp
252,Swamp
253,Mountain
254,Mountain
255,Mountain
256,Mountain
257,Mountain
258,Mountain
259,Mountain
260,Mountain
261,Forest
262,Forest
263,Forest
264,Forest
265,Forest
266,Forest
267,Forest
268,Forest
269,Quest for Ancient Secrets
