set,card_name,image_url
Arabian Nights,Abu Ja'far,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=968&type=card
Arabian Nights,Army of Allah,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=969&type=card
Arabian Nights,Eye for an Eye,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=972&type=card
Arabian Nights,Jihad,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=973&type=card
Arabian Nights,King Suleiman,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=974&type=card
Arabian Nights,Moorish Cavalry,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=975&type=card
Arabian Nights,Piety,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=978&type=card
Arabian Nights,Repentant Blacksmith,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=979&type=card
Arabian Nights,Shahrazad,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=980&type=card
Arabian Nights,War Elephant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=981&type=card
Arabian Nights,War Elephant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=982&type=card
Arabian Nights,Fishliver Oil,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=930&type=card
Arabian Nights,Cuombajj Witches,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=914&type=card
Arabian Nights,El-Hajjâj,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=915&type=card
Arabian Nights,Army of Allah,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=970&type=card
Arabian Nights,Camel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=971&type=card
Arabian Nights,Dandân,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=929&type=card
Arabian Nights,Fishliver Oil,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=931&type=card
Arabian Nights,Flying Men,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=932&type=card
Arabian Nights,Giant Tortoise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=934&type=card
Arabian Nights,Giant Tortoise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=933&type=card
Arabian Nights,Island Fish Jasconius,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=935&type=card
Arabian Nights,Merchant Ship,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=936&type=card
Arabian Nights,Old Man of the Sea,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=937&type=card
Arabian Nights,Serendib Djinn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=938&type=card
Arabian Nights,Serendib Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=939&type=card
Arabian Nights,Sindbad,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=940&type=card
Arabian Nights,Unstable Mutation,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=941&type=card
Arabian Nights,Erg Raiders,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=916&type=card
Arabian Nights,Erg Raiders,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=917&type=card
Arabian Nights,Guardian Beast,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=918&type=card
Arabian Nights,Hasran Ogress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=920&type=card
Arabian Nights,Hasran Ogress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=919&type=card
Arabian Nights,Junún Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=921&type=card
Arabian Nights,Juzám Djinn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=922&type=card
Arabian Nights,Khabál Ghoul,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=923&type=card
Arabian Nights,Oubliette,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=925&type=card
Arabian Nights,Oubliette,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=924&type=card
Arabian Nights,Sorceress Queen,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=926&type=card
Arabian Nights,Stone-Throwing Devils,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=927&type=card
Arabian Nights,Stone-Throwing Devils,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=928&type=card
Arabian Nights,Aladdin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=955&type=card
Arabian Nights,Ali Baba,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=956&type=card
Arabian Nights,Ali from Cairo,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=957&type=card
Arabian Nights,Bird Maiden,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=959&type=card
Arabian Nights,Bird Maiden,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=958&type=card
Arabian Nights,Desert Nomads,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=960&type=card
Arabian Nights,Hurr Jackal,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=961&type=card
Arabian Nights,Kird Ape,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=962&type=card
Arabian Nights,Magnetic Mountain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=963&type=card
Arabian Nights,Mijae Djinn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=964&type=card
Arabian Nights,Rukh Egg,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=965&type=card
Arabian Nights,Rukh Egg,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=966&type=card
Arabian Nights,Ydwen Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=967&type=card
Arabian Nights,Cyclone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=942&type=card
Arabian Nights,Desert Twister,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=943&type=card
Arabian Nights,Drop of Honey,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=944&type=card
Arabian Nights,Erhnam Djinn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=945&type=card
Arabian Nights,Ghazbán Ogre,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=946&type=card
Arabian Nights,Ifh-Bíff Efreet,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=947&type=card
Arabian Nights,Metamorphosis,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=948&type=card
Arabian Nights,Nafs Asp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=950&type=card
Arabian Nights,Nafs Asp,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=949&type=card
Arabian Nights,Sandstorm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=951&type=card
Arabian Nights,Singing Tree,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=952&type=card
Arabian Nights,Wyluli Wolf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=954&type=card
Arabian Nights,Wyluli Wolf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=953&type=card
