card_name,part_img,set,images
Absorb,Absorb.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Absorb.jpg
Act of Treason,Act of Treason.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Act of Treason.jpg
Aeromunculus,Aeromunculus.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Aeromunculus.jpg
Amplifire,Amplifire.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Amplifire.jpg
Angel of Grace,Angel of Grace.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Angel of Grace.jpg
Angelic Exaltation,Angelic Exaltation.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Angelic Exaltation.jpg
Applied Biomancy,Applied Biomancy.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Applied Biomancy.jpg
Archway Angel,Archway Angel.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Archway Angel.jpg
Arrester's Admonition,Arrester's Admonition.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Arrester's Admonition.jpg
Arrester's Zeal,Arrester's Zeal.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Arrester's Zeal.jpg
Awaken the Erstwhile,Awaken the Erstwhile.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Awaken the Erstwhile.jpg
Axebane Beast,Axebane Beast.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Axebane Beast.jpg
Azorius Guildgate,Azorius Guildgate.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Azorius Guildgate.jpg
Azorius Knight-Arbiter,Azorius Knight-Arbiter.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Azorius Knight-Arbiter.jpg
Azorius Locket,Azorius Locket.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Azorius Locket.jpg
Azorius Skyguard,Azorius Skyguard.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Azorius Skyguard.jpg
Bankrupt in Blood,Bankrupt in Blood.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bankrupt in Blood.jpg
Basilica Bell-Haunt,Basilica Bell-Haunt.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Basilica Bell-Haunt.jpg
Bedevil,Bedevil.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bedevil.jpg
Benthic Biomancer,Benthic Biomancer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Benthic Biomancer.jpg
Biogenic Ooze,Biogenic Ooze.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Biogenic Ooze.jpg
Biogenic Upgrade,Biogenic Upgrade.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Biogenic Upgrade.jpg
Biomancer's Familiar,Biomancer's Familiar.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Biomancer's Familiar.jpg
Blade Juggler,Blade Juggler.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Blade Juggler.jpg
Bladebrand,Bladebrand.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bladebrand.jpg
Blood Crypt,Blood Crypt.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Blood Crypt.jpg
Bloodmist Infiltrator,Bloodmist Infiltrator.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bloodmist Infiltrator.jpg
Bolrac-Clan Crusher,Bolrac-Clan Crusher.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bolrac-Clan Crusher.jpg
Breeding Pool,Breeding Pool.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Breeding Pool.jpg
Bring to Trial,Bring to Trial.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Bring to Trial.jpg
Burn Bright,Burn Bright.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Burn Bright.jpg
Burning-Tree Vandal,Burning-Tree Vandal.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Burning-Tree Vandal.jpg
Captive Audience,Captive Audience.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Captive Audience.jpg
Carrion Im,Carrion Imp.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Carrion Imp.jpg
Catacomb Crocodile,Catacomb Crocodile.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Catacomb Crocodile.jpg
Cavalcade of Calamity,Cavalcade of Calamity.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Cavalcade of Calamity.jpg
Charging War Boar,Charging War Boar.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Charging War Boar.jpg
Chillbringer,Chillbringer.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Chillbringer.jpg
Cindervines,Cindervines.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Cindervines.jpg
Civic Stalwart,Civic Stalwart.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Civic Stalwart.jpg
Clamor Shaman,Clamor Shaman.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Clamor Shaman.jpg
Clan Guildmage,Clan Guildmage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Clan Guildmage.jpg
Clear the Mind,Clear the Mind.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Clear the Mind.jpg
Clear the Stage,Clear the Stage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Clear the Stage.jpg
Code of Constraint,Code of Constraint.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Code of Constraint.jpg
Combine Guildmage,Combine Guildmage.jpg,Ravnica Allegiance,data\Ravnica Allegiance\imgs\Combine Guildmage.jpg
